time(day),S,I,R 
0,9999.0,1.0,0.0
1,9998.840016,1.0885554285714287,0.07142857142857142
2,9998.66586733474,1.1849501346490998,0.1491825306122449
3,9998.476300607286,1.289877566769976,0.23382182594432346
4,9998.269951642773,1.4040924193703885,0.3259559378564646
5,9998.045335722038,1.528416024435801,0.42624825352577805
6,9997.800836958771,1.663742214528266,0.5354208266997639
7,9997.534696745894,1.8110436977974138,0.6542595563089257
8,9997.245001190597,1.9713789889658695,0.7836198204373124
9,9996.92966745071,2.1458999439259956,0.924432605363446
10,9996.71514334258,2.207145484630856,1.0777111727867315
11,9996.494501295683,2.270134282626347,1.2353644216889355
12,9996.267567446948,2.334915682602093,1.3975168704479601
13,9996.034163027842,2.4015404100948436,1.5642965620623954
14,9995.794104228009,2.470060609205783,1.7358351627834556
15,9995.547202055262,2.540529881294077,1.9122680634410116
16,9995.293262191795,2.613003324668711,2.0937344835334457
17,9995.032084846544,2.687537575300977,2.280377578152639
18,9994.7634646036,2.764190848580261,2.4723445478169945
19,9994.487190266575,2.843022982136058,2.6697867512870133
20,9994.203044698808,2.924095479749406,2.872859821439589
21,9993.910804659341,3.007471556377178,3.0817237842788323
22,9993.610240634522,3.093216184312929,3.2965431811629164
23,9993.301116665161,3.181396140508181,3.5174871943281256
24,9992.983190169127,3.2720800550782574,3.7447297757929956
25,9992.656211759255,3.3653384610169432,3.978449779727157
26,9992.319925056483,3.4612438451444087,4.218831098371225
27,9991.974066498089,3.559870700312964,4.466062801595825
28,9991.618365140914,3.661295578895316,4.7203392801896085
29,9991.252542459451,3.765597147580076,4.981860392967845
30,9990.876312138706,3.8728562434993026,5.250831617794994
31,9990.48937986167,3.983155931712881,5.527464206616372
32,9990.091443091329,4.096581564074495,5.811975344595863
33,9989.682190847037,4.213220839503894,6.104588313458327
34,9989.261303475172,4.333163865690021,6.405532659137177
35,9988.82845241392,4.4565032222494185,6.715044363829321
36,9988.383299952073,4.583334025364111,7.033366022561422
37,9987.925498981702,4.713753993922878,7.360747024373144
38,9987.454692744583,4.847863517189536,7.697443738224779
39,9986.970514572236,4.985765724021397,8.043719703738317
40,9986.472587619453,5.127566553660678,8.399845826882702
41,9985.96052459116,5.273374828121039,8.766100580715607
42,9985.43392746251,5.423302326190859,9.142770211295682
43,9984.892387192043,5.577463859074123,9.530148948880743
44,9984.33548342778,5.735977347689051,9.928539224528896
45,9983.762784206134,5.898963901643674,10.33825189222097
46,9983.173845643467,6.066547899906609,10.75960645662409
47,9982.56821162019,6.238857073190189,11.19293130661742
48,9981.945413457233,6.416022588061877,11.638563954702432
49,9981.304969584779,6.598179132798594,12.096851282421138
50,9980.646385203094,6.785465004997112,12.568149791906752
51,9979.969151935353,6.97802220095207,13.05282586369226
52,9979.272747472283,7.175996506811425,13.551256020903121
53,9978.556635208519,7.379537591517262,14.06382719996108
54,9977.820263870533,7.588799101537796,14.5909370279266
55,9977.063067135996,7.803938757394189,15.132994106607871
56,9976.28446324445,8.02511845198335,15.690418303564599
57,9975.483854599168,8.252504350695288,16.263641050134837
58,9974.660627360065,8.486266993320756,16.85310564661307
59,9973.814151027549,8.726581397741835,17.45926757470741
60,9972.9437780172,8.973627165394904,18.082594817403255
61,9972.048843225146,9.227588588491837,18.723568186360033
62,9971.12866358405,9.488654758981554,19.382681656966593
63,9970.182537609588,9.757019679229927,20.06044271117956
64,9969.209744937338,10.03288237439179,20.757372688267413
65,9968.209545849972,10.316447006444058,21.47400714358111
66,9967.181180794683,10.607922989844107,22.210896215469973
67,9966.123869890765,10.907525108772179,22.968605000458837
68,9965.036812427286,11.21547363591098,23.747713936799705
69,9963.91918635078,11.53199445270966,24.548819196507633
70,9962.770147742938,11.857319171072843,25.372533085986895
71,9961.58883028824,12.191685256408743,26.219484455349242
72,9960.374344731514,12.535336151963001,27.090319116521297
73,9959.125778325408,12.888521404357336,27.98570027023294
74,9957.842194267781,13.251496790243865,28.90630894197275
75,9956.52263112903,13.62452444397739,29.852844426990167
76,9955.16610226938,14.007872986198748,30.826024744417122
77,9953.77159524621,14.401817653212703,31.826587100574177
78,9952.338071211445,14.80664042703358,32.85528836151794
79,9950.864464299158,15.222630165961085,33.91290553487748
80,9949.349681003443,15.650082735537314,35.00023626101756
81,9947.792599546718,16.08930113972389,36.118099313555945
82,9946.192069238621,16.540595652125567,37.26733510925051
83,9944.546909825665,17.00428394707314,38.44880622725948
84,9942.85591083187,17.48069123036456,39.66339793776471
85,9941.117830890616,17.970150369448234,40.9120187399336
86,9939.331397068001,18.473002022817006,42.1956009091799
87,9937.495304177966,18.989594768364935,43.51510105366683
88,9935.608214089578,19.520285230441843,44.87150067997862
89,9933.668755026809,20.065438205322632,46.26580676786732
90,9931.675520861247,20.625426784789504,47.69905235396179
91,9929.627070398188,21.200632477505497,49.172297124303896
92,9927.521926656606,21.79144532783712,50.68662801555429
93,9925.35857614355,22.398264031762317,52.24315982468551
94,9923.135468123566,23.021496049477378,53.84303582695425
95,9920.851013883788,23.661557714293064,55.48742840191692
96,9918.50358599539,24.31887433738556,57.17753966722357
97,9916.091517572162,24.99388030794246,58.91460211989397
98,9913.613101527035,25.68701918821745,60.699879284747006
99,9911.0665898274,26.398743802979663,62.53466636961968
100,9908.45019275021,27.12951632281522,64.42029092697537
101,9905.76207813783,27.879808340708603,66.35811352146217
102,9903.000370655758,28.65010094130084,68.34952840294136
103,9900.163151053348,29.440884762189622,70.39596418446285
104,9897.248455428778,30.252660046603594,72.49888452461926
105,9894.25427449959,31.085936686749076,74.65978881366237
106,9891.178552880194,31.941234257092475,76.88021286271588
107,9888.01918836783,32.81908203680576,79.16172959536534
108,9884.774031238585,33.72001902056517,81.50594974085146
109,9881.440883555111,34.64459391685548,83.9145225280347
110,9878.017498487869,35.59336513289332,86.38913637923866
111,9874.50157965174,36.5669007452431,88.93151960301675
112,9870.890780460022,37.565778455158735,91.54344108481983
113,9867.182703497883,38.59058552764284,94.22671097447403
114,9863.37489991752,39.64191871317334,96.98318136930567
115,9859.46486885732,40.72038415100466,99.8147469916752
116,9855.450056887488,41.8265972529078,102.7233458596041
117,9851.327857484732,42.961182566170194,105.71095994909751
118,9847.095610538685,44.12477361463261,108.7796158466811
119,9842.750601892918,45.318012716496895,111.93138539058343
120,9838.2900629235,46.541550777594594,115.16838629890464
121,9833.711170158216,47.79604705876328,118.49278278301854
122,9829.011044939705,49.08216891593472,121.90678614435878
123,9824.186753135862,50.400591511496856,125.41265535263983
124,9819.235304901087,51.75199749545024,129.01269760346105
125,9814.153654492022,53.13707665484,132.70926885313605
126,9808.93870014161,54.55652552990549,136.50477432848177
127,9803.587283995455,56.011046995353496,140.4016690091893
128,9798.096192114586,57.50134980512601,144.40245808028598
129,9792.462154548915,59.02814809900183,148.5096973520807
130,9786.68184548579,60.592160869341825,152.72599364486655
131,9780.751883478202,62.19411138626197,157.05400513553383
132,9774.668831757377,63.834726579496184,161.49644166312396
133,9768.429198634574,65.51473637519287,166.05606499023082
134,9762.029437997091,67.23487298587618,170.73568901703032
135,9755.46594990361,68.99587015179478,175.5381799445929
136,9748.735081284112,70.79846233187892,180.46645638400682
137,9741.833126749754,72.64338384253088,185.52348940771245
138,9734.75632951819,74.53136794248518,190.7123025393218
139,9727.500882459932,76.46314586199381,196.03597167807075
140,9720.06292927145,78.43944577461917,201.49762495392744
141,9712.438565780785,80.46099170995397,207.1004425092574
142,9704.623841391538,82.52850240563308,212.84765620282553
143,9696.614760671138,84.64269009705974,218.74254923179933
144,9688.407285089357,86.8042592433361,224.7884556673036
145,9679.997334913058,89.01390518796846,230.98875989897047
146,9671.38079126316,91.27231275301095,237.34689598382536
147,9662.553498339823,93.58015476541794,243.8663468947547
148,9653.511265821786,95.93809051449723,250.55064366371315
149,9644.249871445754,98.346764139493,257.40336441474864
150,9634.76506377166,100.80680294648047,264.42813328185525
151,9625.052565139467,103.31881565392452,271.62861920660384
152,9615.108074823098,105.88339056644254,279.00853461045557
153,9604.927272386847,108.50109367651858,286.57163393663006
154,9594.505821249473,111.17246669414119,294.3217120563814
155,9583.839372460878,113.89802500458427,302.2626025345343
156,9572.923568696033,116.67825555481579,310.39817574914747
157,9561.754048470482,119.51361466930787,318.73233686020575
158,9550.326450581366,122.40452579633042,327.2690236222992
159,9538.63641877753,125.35137718614244,336.01220403632277
160,9526.679606661814,128.35451950284883,344.96587383533296
161,9514.451682828107,131.41426337206627,354.13405379982214
162,9501.948336235228,134.53087686694127,363.5207868978269
163,9489.165281819047,137.7045829354836,373.13013524546557
164,9476.098266343659,140.9355567726224,382.9661768837144
165,9462.743074491667,144.2239231408559,393.03300236747316
166,9449.095535192895,147.569753643852,403.3347111632486
167,9435.15152819004,150.97306395786183,413.8754078520952
168,9420.906990838863,154.43381102633293,424.65919813479957
169,9406.357925139664,157.95189022365068,435.6901846366805
170,9391.500404995704,161.52713249449306,446.9724625097984
171,9376.330583693307,165.1593014758561,458.51011483083363
172,9360.844701597212,168.84809060938986,470.30720779339475
173,9345.039094053654,172.5931202522763,482.36778569406545
174,9328.910199492433,176.39393479547883,494.6958657120852
175,9312.454567718012,180.24999979879465,507.29543248319084
176,9295.668868378438,184.16069915274102,520.1704324688191
177,9278.549899599508,188.12533227790323,533.3247681225863
178,9261.094596770316,192.1431113729599,546.7622918567223
179,9243.300041464889,196.21315872317604,560.4867998119337
180,9225.16347048327,200.33450408171092,574.5020254350177
181,9206.68228499395,204.5060821366228,588.8116328694256
182,9187.854059758143,208.72673007695738,603.4192101648987
183,9168.676552414967,212.99518527177943,618.3282623132528
184,9149.147712805181,217.3100830764388,633.5422041183799
185,9129.265692309698,221.66995478074762,649.0643529095541
186,9109.02885317774,226.07322571408002,664.8979211081789
187,9088.435777818135,230.5182135226795,681.0460086591846
188,9067.485278025952,235.0031266346705,697.5115953393761
189,9046.176404115453,239.52606292840778,714.2975329561383
190,9024.508453929117,244.0850086198579,731.4065374510245
191,9002.480981691444,248.67783738468356,748.8411809238715
192,8980.093806675206,253.30230973058673,766.6038835942061
193,8957.347021646925,257.95607263525505,784.6969057178194
194,8934.241001057573,262.63665946494535,803.1223394774804
195,8910.776408943848,267.34149018831727,821.8821008678336
196,8886.954206504828,272.0678718995998,840.9779215955706
197,8862.775659318499,276.81299966452946,860.4113410169706
198,8838.242344162401,281.57395770173184,880.1836981358656
199,8813.356155402673,286.3477209113365,900.2961236859893
200,8788.119310915878,291.13115676160703,920.7495323225133
201,8762.534357508419,295.9210275432375,941.5446149483424
202,8736.604175798851,300.7139929997173,962.6818312014308
203,8710.331984529226,305.5066133407908,984.161402129982
204,8683.721344272552,310.2953526445521,1005.9833030828956
205,8656.77616050467,315.0765826521077,1028.1472568432207
206,8629.50068601031,319.8465869570319,1050.652727032657
207,8601.899522594671,324.6015655900244,1073.498911815302
208,8573.977622073848,329.3376399972744,1096.6847379288752
209,8545.740286519414,334.05085840904434,1120.2088550715375
210,8517.19316773489,338.73720159292395,1144.0696306721836
211,8488.34226594424,343.39258898407826,1168.2651450716783
212,8459.193927675384,348.01288518264266,1192.7931871419696
213,8429.754842824486,352.593906806209,1217.6512503693011
214,8400.032040889986,357.13142968312314,1242.8365294268874
215,8370.032886368515,361.62119637008516,1268.3459172613962
216,8339.76507330826,366.05892397533444,1294.1760027164023
217,8309.236619018837,370.44031226651924,1320.3230687146404
218,8278.45585694038,374.76105204022525,1346.7830910193918
219,8247.431428678225,379.0168337280789,1373.5517375936936
220,8216.172275213354,383.2033562123725,1400.6243685742706
221,8184.6876273025455,387.31633582229676,1427.9960368751545
222,8152.986995085977,391.3515154801304,1455.66148943389
223,8121.080156923809,395.3046739651451,1483.6151691110422
224,8088.977147487033,399.1716352615534,1511.8512172514097
225,8056.688245131476,402.9482779555712,1540.3634769129492
226,8024.2239585874695,406.63054464560804,1569.1454967669185
227,7991.5950130010815,410.21445132873794,1598.1905356701764
228,7958.812335366084,413.6960967259681,1627.4915679079434
229,7925.887039388929,417.0716715084105,1657.0412891026554
230,7892.830409831881,420.33746738628616,1686.8321227818276
231,7859.6538863821,423.489886022762,1716.8562275951338
232,7826.369047096877,426.5254477349307,1747.1055051681883
233,7792.987591477358,429.44079994481075,1777.5716085778263
234,7759.521323224918,432.2327253440502,1808.2459514310272
235,7725.98213273589,434.8981497370744,1839.1197175270308
236,7692.3819793916055,437.43414952871154,1870.183871079679
237,7658.732873701554,439.83795882385516,1901.4291674745868
238,7625.046859358094,442.10697610846887,1932.8461645334337
239,7591.335995261332,444.23877048319724,1964.425234255467
240,7557.612337572735,446.23108742299473,1996.1565750042669
241,7523.887921855569,448.0818540385175,2028.0302241059094
242,7490.174745359539,449.7891838175111,2060.0360708229464
243,7456.484749505881,451.3513808270612,2092.1638696670543
244,7422.829802627827,452.7669433603251,2124.403254011844
245,7389.22168301963,454.03456701421345,2156.7437499661532
246,7355.672062345412,455.1531471874167,2189.1747904671684
247,7322.192489456861,456.1217809911519,2221.685729551984
248,7288.79437466635,456.9397685680092,2254.2658567656376
249,7255.488974519352,457.6066138172928,2286.9044116633527
250,7222.287377107167,458.1220245282426,2319.590598364588
251,7189.200487957916,458.48591192547633,2352.3136001166054
252,7156.239016540551,458.6983896338784,2385.062593825568
253,7123.413463413329,458.759772072967,2417.826764513702
254,7090.734108044759,458.67057229346796,2450.595319661771
255,7058.210997331582,458.43149927139723,2483.3575033970187
256,7025.853934834776,458.043454677389,2516.102610487833
257,6993.672470751071,457.50752914128,2548.820000107646
258,6961.675892633904,456.82499803406995,2581.499109332023
259,6929.873216874241,455.9973167912995,2614.1294663344565
260,6898.273180948256,455.02611580362066,2646.7007032481206
261,6866.884236435464,453.91319490186805,2679.202568662665
262,6835.714542807647,452.66051746526585,2711.624939727084
263,6804.771961985726,451.2702041825255,2743.957833831746
264,6774.064053658718,449.7445264964962,2776.1914198447835
265,6743.598071356021,448.08589976372895,2808.3160288802474
266,6713.380959261536,446.29687616080486,2840.3221645776566
267,6683.419349755578,444.38013736956304,2872.200512874857
268,6653.71956166815,442.3384870734506,2903.9419512583972
